FrageNr.	ThNr.	Sachgebiet	Klasse	BildNr.	ZusFr.	Frage	AKZ1	Antwort1	AKZ2	Antwort2	AKZ3	Antwort3	AKZ4	Antwort4
290	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie wollen ein Fahrzeug mit digitalem Kontrollgerät lenken. Ihre Fahrerkarte ist defekt geworden oder verloren gegangen. Wie lang dürfen Sie ohne Karte fahren?	X	Höchstens 15 Tage		Höchstens 28 Tage		Höchstens 7 Tage		Gar nicht
291	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie sind im "Mehrfahrerbetrieb" als Beifahrer im Fahrzeug unterwegs. In welchem Kartenschacht des digitalen Kontrollgerätes muss sich Ihre Fahrerkarte befinden?		In keinem, da keine Fahrerkarte gesteckt werden muss, wenn ich nicht selbst lenke		Im Kartenschacht 1		Im Kartenschacht 1 oder 2	X	Im Kartenschacht 2
292	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Was bedeutet der Begriff "Tägliche Ruhezeit"?	X	Das ist der tägliche Zeitraum, in dem eine Lenkerin oder ein Lenker frei über ihre bzw. seine Zeit verfügen kann und der eine „regelmäßige tägliche Ruhezeit“ oder eine „reduzierte tägliche Ruhezeit“ umfasst		Das ist die Pause, die nach 6 Stunden ununterbrochener Arbeitszeit zu halten ist		Das ist die Lenkpause, die nach 4,5 Stunden Lenkzeit gesetzlich zu halten ist		Das ist die Pause, die nach 12 Stunden ununterbrochener Arbeitszeit zu halten ist
293	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Die österreichische Ortszeit beträgt 11:00 Uhr. Welche UTC-Zeit entspricht an einem Sommertag der österreichischen Ortszeit?		13:00 Uhr		10:00 Uhr		12:00 Uhr	X	9:00 Uhr
294	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie lenken ein Fahrzeug mit digitalem Kontrollgerät. Welche Einstellungen müssen Sie vornehmen, wenn Sie einen Grenzübertritt durchführen?	X	Ich muss das Ländersymbol umstellen, wenn das Kontrollgerät diese Umstellung nicht automatisch vornimmt		Ich muss die UTC-Zeit umstellen		Ich muss das Tätigkeitssymbol umstellen		Ich muss das Kontrollgerät in den "Out"-Modus umstellen
295	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Tätigkeiten fallen unter den Begriff "Bereitschaftszeit"?	X	Wenn ich auf Anweisungen für die Aufnahme oder Wiederaufnahme der Weiterfahrt oder zur Ausführung anderer Arbeiten warte. Dabei darf ich den Arbeitsplatz verlassen. Diese Zeiten und ihre voraussichtliche Dauer müssen mir vorab bekannt sein		Nur solche, bei denen ich das Fahrzeug belade		Wenn ich am Fahrzeug einen Radwechsel vornehme		Nur solche, bei denen ich das Fahrzeug entlade
296	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Was müssen Sie tun, wenn Sie nach einer täglichen Ruhezeit Ihre Fahrerkarte wieder in das digitale Kontrollgerät stecken?	X	Ich trage die Aktivitäten seit der letzten Entnahme der Karte im Gerät nach		Ich stelle die Ortszeit auf die aktuelle UTC-Zeit um		Ich drucke einen Ereignisausdruck aus und trage meine Ruhezeit handschriftlich darauf ein		Ich muss das Ländersymbol überprüfen
297	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Tätigkeiten fallen unter den Begriff "Andere Arbeiten" (Beispiele)?		Wenn ich für das Lenken eines Fahrzeuges zur Verfügung stehe, dieses aber nicht selbst lenke und auch sonst keine Arbeiten verrichte		Wenn ich bei Mehrfahrerbetrieb im fahrenden Fahrzeug als 2. Person mitfahre	X	Wenn ich am Fahrzeug eine Abfahrtskontrolle durchführe oder es be- oder entlade oder beim Be- oder Entladen Wartezeiten habe, deren Ende nicht vorab bekannt ist oder Frachtpapiere ausfülle		Wenn ich das Fahrzeug als Lenkerin oder Lenker zu einem anderen Betriebsstandort überstelle 
298	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie machen im Mehrfahrerbetrieb einen Fahrerwechsel. Wie müssen Sie sich in Bezug auf das digitale Kontrollgerät verhalten?		Ich wechsle nur den Sitzplatz, die Fahrerkarten werden nicht umgesteckt	X	Die Fahrerkarte des jeweiligen Lenkers muss im Kartenschacht 1 stecken, jene des Beifahrers im Kartenschacht 2		Die Fahrerkarte des Beifahrers wird nicht gesteckt, sondern nur mitgeführt		Die Fahrerkarte des jeweiligen Lenkers muss im Kartenschacht 2 stecken, jene des Beifahrers im Kartenschacht 1
299	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie verhalten Sie sich im kombinierten Verkehr, wenn Sie Teile der Fahrt auf einer Fähre oder auf einem Zug verbringen?	X	Ich stelle das digitale Kontrollgerät auf die Menüeinstellung "Zug-Fähre"		Ich entnehme meine Fahrerkarte und stelle meine Aktivität auf Lenkzeit		Ich stecke meine Fahrerkarte in den Kartenschacht 2 und stelle die Aktivität auf Arbeitszeit		Ich stelle das digitale Kontrollgerät auf die Menüeinstellung "OUT"
300	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Was bedeutet der Begriff "Wochenlenkzeit"?	X	Das ist die Gesamtlenkzeit innerhalb einer Woche. Die Woche ist der Zeitraum von Montag 00:00 Uhr bis Sonntag 24:00 Uhr		Das ist die Gesamtlenkzeit in einem beliebigen Zeitraum von insgesamt 168 Stunden		Das ist die gesamte Anwesenheitszeit im Fahrerhaus innerhalb einer Woche		Das ist die gesamte Anwesenheitszeit in der Firma innerhalb einer Woche
301	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Was müssen Sie am digitalen Kontrollgerät beachten, wenn Sie nach 4 Stunden und 30 Minuten Lenkzeit eine Pause einlegen?	X	Ich muss gleich nach dem Abstellen des Fahrzeuges meine Aktivität auf das Symbol "Ruhezeit" umstellen		Ich muss gleich nach dem Abstellen des Fahrzeuges meine Aktivität auf das Symbol "Andere Arbeitszeit" umstellen		Ich muss gleich nach dem Abstellen des Fahrzeuges meine Aktivität auf das Symbol "Bereitschaftszeit" umstellen		Ich muss gleich nach dem Abstellen des Fahrzeuges meine Fahrerkarte aus dem Gerät entnehmen
302	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie lenken ein Fahrzeug auf einer Autobahn. Sie planen, in den nächsten 15 Minuten einen Rastplatz anzufahren, weil eine Lenkpause fällig ist. Plötzlich müssen Sie wegen eines Verkehrsunfalles anhalten. Wie gehen Sie weiter vor?		Ich lenke das Fahrzeug auf den Pannenstreifen, sichere ihn ab und halte die Lenkpause dort. Andernfalls würde ich die zulässigen Lenkzeiten überschreiten	X	Ich warte ab, bis die Weiterfahrt möglich ist, und steuere danach für das Halten der Lenkpause den nächstgelegenen Rastplatz an. Dort muss ich sofort einen manuellen Ausdruck aus dem Kontrollgerät anfertigen und den Grund dieser Lenkzeitüberschreitung dokumentieren		Ich nutze die nächstmögliche Betriebsabfahrt der Straßenmeisterei und halte die Lenkpause dort. Andernfalls würde ich die zulässigen Lenkzeiten überschreiten		Ich lenke in die Rettungsgasse, sichere das Fahrzeug ab und halte die Lenkpause dort. Andernfalls würde ich die zulässigen Lenkzeiten überschreiten
303	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie wollen ein Fahrzeug mit digitalem Kontrollgerät lenken. Ihre Fahrerkarte ist defekt geworden oder verloren gegangen. Wie lang dürfen Sie ohne Karte fahren?		Gar nicht		Höchstens 28 Tage		Höchstens 7 Tage	X	Höchstens 15 Tage
304	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie benutzen mit Ihrem Fahrzeug ein Fährschiff oder die "Rollende Landstraße". Unter welchen Bedingungen gilt die dort verbrachte Zeit als tägliche Ruhezeit?	X	Wenn eine Schlafkabine oder eine Koje oder ein Liegewagen zur Verfügung steht		Wenn der Waggon lärmarm zertifiziert ist		Wenn das Fährschiff klimatisiert ist		Wenn der Waggon klimatisiert ist
305	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			In welchem Staat muss ein EU-Bürger seine Fahrerkarte beantragen?		In jedem beliebigen EU-Mitgliedstaat	X	In dem EU-Mitgliedstaat, in dem er seinen Wohnsitz hat		In dem EU-Mitgliedstaat, in dem er geboren wurde		In dem EU-Mitgliedstaat, in dem der Firmensitz liegt
306	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie arbeiten für verschiedene Arbeitgeber. Wie viele gültige Fahrerkarten dürfen Sie besitzen?		Für jeden Arbeitgeber eine eigene		Höchstens fünf	X	Höchstens eine		Für jeden EU-Staat, in dem ich fahre, eine eigene
307	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wo ist in Österreich der Antrag für die Fahrerkarte zu stellen?		Bei der Landesregierung, die für meinen Wohnsitz zuständig ist		Beim Dienstgeber		Bei der Bezirksverwaltungsbehörde, die für meinen Wohnsitz zuständig ist	X	Bei den Autofahrerclubs ARBÖ oder ÖAMTC
308	9	2a Sozialrechtliche Rahmenbedingungen LKW	C1.C1E.C.CE			Sie lenken ein Fahrzeug 4,5 Stunden lang. Kann die notwendige Lenkpause von 45 Minuten auch geteilt werden?	X	Ja. Teil 1 muss mindestens 15 Minuten, Teil 2 mindestens 30 Minuten lang dauern		Ja. Jede beliebige Aufteilung ist zulässig, solang nach 4,5 Stunden Lenkzeit 45 Minuten Lenkpause gehalten werden		Nein		Ja. Wenn Teil 1 mindestens 25 Minuten gedauert hat, genügen für Teil 2 20 Minuten
309	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Ihre Fahrerkarte ist durch Zeitablauf ungültig geworden. Wie lang danach müssen Sie diese Fahrerkarte noch mitführen?		Gar nicht. Sie kann sofort vernichtet werden	X	Mindestens 56 Tage nach Ablauf der Gültigkeit		Noch die laufende Woche und dann weitere 15 Kalendertage		Noch die laufende Woche und dann weitere 7 Kalendertage
310	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Im Zuge einer Verkehrskontrolle wird aufgrund der Aufzeichnung am Schaublatt des analogen Kontrollgerätes festgestellt, dass Sie mit 95 km/h unterwegs waren. Kann das zu einer Bestrafung führen?		Nein, weil der Ort der Geschwindigkeitsüberschreitung nicht festgestellt werden kann		Ja, auf jeden Fall	X	Ja, wenn die Geschwindigkeitsüberschreitung weniger als 2 Stunden vor der Kontrolle erfolgt ist		Ja, aber nur, wenn der Strafbehörde der genaue Ort der Geschwindigkeitsüberschreitung bekannt ist
311	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Nach welcher durchgehenden Lenkzeit müssen Sie die Fahrt spätestens unterbrechen?		Nach 9 Stunden	X	Nach 4,5 Stunden		Nach 2 Stunden		Nach 3 Stunden
312	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Unter welchen Voraussetzungen dürfen Sie eine tägliche oder reduzierte wöchentliche Ruhezeit im Fahrzeug verbringen?	X	Wenn eine geeignete Schlafmöglichkeit (Schlafkabine) zur Verfügung steht und das Fahrzeug stillsteht		Nur wenn das Fahrzeug mit Klimaanlage ausgestattet ist		Wenn kein Hotelzimmer in einem Umkreis von 10 km gefunden werden kann		Nur wenn das Fahrzeug mit Standheizung ausgestattet ist
313	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Ihr Fahrzeug hat ein analoges EG-Kontrollgerät. Darf das EG-Kontrollgerät während der Einsatzzeit des Fahrzeuges geöffnet werden?		Ja, während der Mittagspause		Ja, bei jeder Lenkpause	X	Ja, bei einem Fahrerwechsel, einer Kontrolle, einem Grenzübertritt oder einem Fahrzeugwechsel		Nein, nie
314	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Was bedeutet der Begriff "Wöchentliche Ruhezeit"?	X	Das ist der wöchentliche Zeitraum, in dem ein Fahrer frei über seine Zeit verfügen kann. Diese kann eine regelmäßige wöchentliche Ruhezeit oder eine reduzierte wöchentliche Ruhezeit umfassen		Die Summe der in einer Kalenderwoche gehaltenen täglichen Ruhezeiten		Eine immer am Sonntag zu haltende Ruhezeit		Eine Ruhezeit, die immer in die Zeit des Wochenendfahrverbotes fällt
315	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wer ist für die korrekte Bedienung des digitalen Kontrollgerätes verantwortlich?		Der Fahrzeughersteller		Der Empfänger der transportierten Fracht		Der Auftraggeber der Fahrt	X	Der Fahrer und der Arbeitgeber
316	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wann muss grundsätzlich eine wöchentliche Ruhezeit gehalten werden?		Auf jedem F all am Wochenende		Auf jedem Fall am Sonntag	X	Spätestens am Ende von sechs 24-Stunden-Zeiträumen nach Ende der letzten wöchentlichen Ruhezeit		Auf jedem Fall am Samstag
316a	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Ihr Omnibus ist mit einem Kontrollgerät Smart Tacho 2 (GEn2 V2) ausgestattet. Sie führen damit eine Rundfahrt durch. Wie ist dann beim erstmaligen Einsteigen am Beginn bzw. beim Aussteigen der Fahrgäste am Ende der Rundfahrt vorzugehen?	X	Ich muss diesen Vorgang im Kontrollgerät durch Auswahl des entsprechenden Symbols ("laden" oder "entladen" oder "laden/entladen") erfassen		Ich muss diesen Vorgang in einem eigenen Formblatt aufzeichnen		Ich muss diesen Vorgang nur dann in einem eigenen Formblatt aufzeichnen, wenn er länger als 15 Minuten dauert		Ich muss diesen Vorgang im Kontrollgerät durch Auswahl des entsprechenden Symbols "Andere Arbeiten" erfassen
317	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie lenken ein Fahrzeug mit digitalem Kontrollgerät. Am Display des Kontrollgerätes blinkt die Meldung "Geschwindigkeit zu hoch". Wie sollten Sie sich verhalten?		Ich suche sofort die nächste Werkstatt auf	X	Ich fahre langsamer und quittiere die Meldung durch Drücken der Taste "OK" am Kontrollgerät		Ich muss auf dem Tagesausdruck dieses Ereignis durch meine Unterschrift quittieren		Ich muss die Firmenleitung innerhalb von 48 Stunden von dem Ereignis verständigen
318	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang darf die Lenkzeit zwischen zwei Ruhezeiten höchstens dauern?	X	Im Normalfall insgesamt 9 Stunden, zweimal in der Kalenderwoche insgesamt 10 Stunden		Dreimal in der Kalenderwoche insgesamt 11 Stunden		Im Normalfall insgesamt 11 Stunden		Im Normalfall insgesamt 14 Stunden
319	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie oft darf die tägliche Lenkzeit während einer Woche auf 10 Stunden ausgedehnt werden?		1 mal	X	2 mal		3 mal		4 mal
320	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie lenken ein Fahrzeug, das mit einem "intelligenten" digitalen Kontrollgerät ausgerüstet ist. Wie können Sie im Regelfall den Nachweis über die Einhaltung der wöchentlichen Ruhezeit erbringen?	X	Durch Nachtragen beim ersten Stecken der Fahrerkarte nach der Ruhezeit		Durch das EU-Formblatt zur Bescheinigung lenkfreier Tage		Durch schriftliche Aufzeichnungen in einem Tagebuch		Durch eine formlose schriftliche Bestätigung der Geschäftsführung
321	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie viele Stunden darf die wöchentliche Lenkzeit grundsätzlich höchstens dauern?		60 Stunden		38 Stunden		40 Stunden	X	56 Stunden
322	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Was bedeutet der Begriff "Lenkpause"?	X	Die Zeit, in der keine Lenk- oder andere Arbeitstätigkeit ausgeführt werden darf		Die Arbeitszeit, die im Zeitraum eines Tages anfällt, ausgenommen die Lenktätigkeiten		Die Zeit, in der keine Lenktätigkeit ausgeführt werden darf. Andere Tätigkeiten sind erlaubt		Die Zeit, in der keine Aufzeichnungen am Schaublatt oder auf der Fahrerkarte erfolgen
323	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Nach wie vielen Stunden ununterbrochener Lenkzeit muss spätestens eine Lenkpause eingelegt werden?		3 Stunden	X	4,5 Stunden		5 Stunden		5,5 Stunden
324	9	2a Sozialrechtliche Rahmenbedingungen LKW	C1.C1E.C.CE			Sie lenken einen LKW  ununterbrochen 4,5 Stunden lang. Wie lang muss Ihre Lenkpause dann mindestens dauern?	X	45 Minuten		60 Minuten		90 Minuten		120 Minuten
325	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie dehnen die tägliche Lenkzeit auf 10 Stunden aus. Wie viele Lenkpausen müssen Sie dann halten?		Eine genügt	X	Mindestens zwei		Mindestens drei		Mindestens vier
326	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Unter welcher Voraussetzung dürfen Sie mit Fahrzeugen mit digitalem Kontrollgerät ohne Fahrerkarte fahren?	X	Wenn ich meine Fahrerkarte verloren habe		Wenn ich meine Fahrerkarte gerade an einen Kollegen verborgt habe		Wenn ich meine Fahrerkarte zwar beantragt, sie aber noch nicht erhalten habe		Wenn mein Fahrzeug unbeladen ist
327	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Welche Standortdaten zeichnet das Kontrollgerät Smart Tacho 2 (GEN 2 V 2)  automatisch auf?	X	Die Geodaten zu Beginn und am Ende der täglichen Arbeitszeit bzw. nach jeweils drei Stunden Lenkzeit, bei jeder Be- oder Entladung des Fahrzeuges, bei jeder Überschreitung einer Grenze zu einem Mitgliedsstaat der EU		Den Standort nach jeweils viereinhalb Stunden Lenkzeit		Den vollständigen Fahrtverlauf		Den Standort einer Lenkpause
328	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang werden detaillierte Geschwindigkeitsdaten im Massenspeicher des Kontrollgerätes gespeichert?	X	24 Lenkstunden		365 Tage		24 Stunden		28 Tage
329	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang muss eine regelmäßige wöchentliche Ruhezeit mindestens dauern?		24 Stunden		36 Stunden	X	45 Stunden		48 Stunden
330	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang muss eine verkürzte (reduzierte) wöchentliche Ruhezeit mindestens dauern?	X	24 Stunden		30 Stunden		35 Stunden		40 Stunden
331	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			In welchem Fall müssen Sie an einem Tag eine dritte Lenkpause machen?	X	Bei Vorliegen außergewöhnlicher Umstände nach der Halteplatzregel, wenn ich die maximale tägliche Lenkzeit zum Erreichen meines Wohnstandortes oder meines Firmenstandortes um zwei weitere Stunden verlängere, um dort eine regelmäßige wöchentliche Ruhezeit zu halten		Nach der Halteplatzregel, wenn ich die maximale tägliche Lenkzeit zum Erreichen meines Wohnstandortes oder meines Firmenstandortes um eine weitere Stunde verlängere, um dort eine regelmäßige wöchentliche Ruhezeit zu halten		Wenn ich nach 11 Stunden Lenkzeit zum Erreichen meines Wohnstandortes oder meines Firmenstandortes die Lenkzeit um eine weitere Stunde verlängere, um dort eine regelmäßige wöchentliche Ruhezeit zu halten		Wenn ich nach 12 Stunden Lenkzeit zum Erreichen meines Wohnstandortes oder meines Firmenstandortes die Lenkzeit um eine zwei weitere Stunden verlängere, um dort eine regelmäßige wöchentliche Ruhezeit zu halten
332	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie müssen wegen der Halteplatzregel an einem Tag eine dritte Lenkpause halten. Wie lang muss diese Lenkpause mindestens dauern?		15 Minuten		25 Minuten	X	30 Minuten		60 Minuten
333	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie sind unmittelbar vor dem Beginn einer reduzierten wöchentlichen Ruhezeit. Unter welchen Umständen dürfen Sie dann die täglich zulässige Lenkzeit von 10 Stunden um eine Stunde ausdehnen?	X	Wenn unvorhersehbare Umstände eintreten (z. B. widrige Witterungsbedingungen, plötzlich auftretende Verkehrsstaus)		Das darf der Fahrer nach eigenem Ermessen entscheiden		Das darf der Firmeninhaber nach eigenem Ermessen anordnen		Das darf der Disponent nach eigenem Ermessen anordnen
334	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie sind unmittelbar vor dem Beginn einer regelmäßigen wöchentlichen Ruhezeit. Unter welchen Umständen dürfen Sie dann die täglich zulässige Lenkzeit von 10 Stunden um zwei Stunden ausdehnen?	X	Wenn unvorhersehbare Umstände eintreten (z. B. widrige Witterungsbedingungen, plötzlich auftretende Verkehrsstaus)		Das darf der Fahrer nach eigenem Ermessen entscheiden		Das darf der Firmeninhaber nach eigenem Ermessen anordnen		Das darf der Disponent nach eigenem Ermessen anordnen
335	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie haben die täglich zulässige Lenkzeit von 10 Stunden wegen eines unvorhersehbaren Ereignisses verlängert. Was müssen Sie dann beim Erreichen ihres Fahrtziels beachten?		Ich muss auf jeden Fall die Fahrerkarte aus dem Kontrollgerät entnehmen	X	Ich muss einen Ausdruck aus dem Kontrollgerät erstellen. Auf diesem Ausdruck bzw. dem Schaublatt muss ich den Grund für die Überschreitung der täglich zulässigen Lenkzeit vermerken		Ich muss auf jeden Fall das Schaublatt im Kontrollgerät belassen		Ich muss die Firmenleitung sofort von dem Ereignis verständigen
336	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie sind zu Ihrem Wohnort oder zur Firmenniederlassung im Heimatland unterwegs. Wegen eines unvorhersehbaren Ereignisses haben Sie die zulässige tägliche Lenkzeit überschritten. Wie lang darf in diesem Fall die wöchentliche Lenkzeit höchstens dauern?		38 Stunden		40 Stunden	X	58 Stunden		60 Stunden
337	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie haben die täglich zulässige Lenkzeit von 10 Stunden wegen eines unvorhersehbaren Ereignisses verlängert. Müssen Sie diese Verlängerung danach wieder ausgleichen?		Nein		Ja, durch eine gleichwertige Ruhezeit. Diese muss spätestens zum Ende des dritten Monats, das auf die Verlängerung folgt, genommen werden		Ja, durch eine gleichwertige Ruhezeit. Diese muss spätestens mit der nächstfolgenden Ruhezeit genommen werden	X	Ja, durch eine gleichwertige Ruhezeit. Diese muss spätestens zum Ende der dritten Woche, die auf die Woche folgt, in der die Verlängerung erfolgte, genommen werden
338	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wann muss eine regelmäßige wöchentliche Ruhezeit begonnen werden?	X	Spätestens am Ende von sechs 24-Stunden Zeiträumen nach der letzten wöchentlichen Ruhezeit		Spätestens am Ende von fünf 24-Stunden Zeiträumen nach der letzten wöchentlichen Ruhezeit		Spätestens am Ende von acht 24-Stunden Zeiträumen nach der letzten wöchentlichen Ruhezeit		Spätestens am Ende von 14 24-Stunden Zeiträumen nach der letzten wöchentlichen Ruhezeit
339	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie haben eine verkürzte (reduzierte) wöchentliche Ruhezeit im Inland genommen. Müssen Sie diese danach ausgleichen?		Nein		Ja. Der Ausgleich muss spätestens am Ende der dritten Woche, die auf die Verkürzung folgt, erfolgen. Dieser Ausgleich muss an eine Ruhezeit mit zumindest 24 Stunden Dauer angehängt werden		Ja. Der Ausgleich muss spätestens am Ende der dritten Woche, die auf die Verkürzung folgt, erfolgen. Dieser Ausgleich muss an eine Ruhezeit mit zumindest 11 Stunden angehängt werden	X	Ja. Der Ausgleich muss spätestens am Ende der dritten Woche, die auf die Verkürzung folgt, erfolgen. Dieser Ausgleich muss an eine Ruhezeit mit zumindest 9 Stunden angehängt werden
340	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Darf eine wöchentliche Ruhezeit unterbrochen werden?		Nein	X	Ja, bis zu zwei Mal, wenn diese Unterbrechungen insgesamt nicht länger als eine Stunde dauern und im Zuge einer Eisenbahn- oder Fährfahrt erfolgen		Ja, wenn diese Unterbrechung insgesamt nicht länger als acht Stunden dauert		Ja, wenn diese Unterbrechung insgesamt nicht länger als vier Stunden dauert
341	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie halten eine regelmäßige wöchentliche Ruhezeit. Dürfen Sie diese in der Fahrerkabine verbringen?	X	Nein		Ja, immer		Ja, wenn das Fahrzeug auf einem gesicherten Parkplatz steht		Ja, wenn das Fahrzeug eine Heiz- und Kühlmöglichkeit hat
342	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie halten eine regelmäßige wöchentliche Ruhezeit. Wo dürfen Sie diese verbringen?		In der Fahrerkabine	X	In einer geeigneten Unterkunft. Deren Kosten trägt der Arbeitgeber		In einer geeigneten Unterkunft. Deren Kosten trägt der Dienstnehmer		In einer geeigneten Unterkunft. Deren Kosten trägt das Arbeitsmarktservice
344	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Standortdaten zeichnet das "intelligente" Kontrollgerät Smart Tacho 1 (GEN 1 V2) automatisch auf?	X	Die Geodaten zu Beginn und am Ende der täglichen Arbeitszeit bzw. nach jeweils drei Stunden Lenkzeit (diese Aufzeichnungen ersetzen jedoch nicht die erforderliche Ländereingabe)		Den Standort nach jeweils viereinhalb Stunden Lenkzeit		Den vollständigen Fahrtverlauf		Den Standort einer Lenkpause
345	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Vorschriften gelten für die Rückkehr zum Wohnort des Fahrers oder zum Firmenstandort?	X	Fahrer müssen spätestens nach vier Wochen die Möglichkeit bekommen, zum Wohnort oder Firmenstandort für eine regelmäßige Ruhezeit von mindestens 45 Stunden zurückkehren		Fahrer müssen spätestens nach sechs Wochen die Möglichkeit bekommen, zum Wohnort oder Firmenstandort für eine Ruhezeit zurückkehren		Fahrer müssen spätestens nach acht Wochen die Möglichkeit bekommen, zum Wohnort oder Firmenstandort für eine Ruhezeit von mindestens 11 Stunden zurückkehren		Fahrer müssen spätestens nach vier Wochen die Möglichkeit bekommen, zum Wohnort oder Firmenstandort für eine Ruhezeit von mindestens 9 Stunden zurückkehren
